State/Territory,City/Town,Guide type,Suggested URL slug,Priority tier,Launch angle,First mapping missions,Status
VIC,Bendigo,Regional city,/guides/vic/bendigo-accessibility-guide,Tier 1,"Arts, hospital, heritage and tram tourism","Verify gallery/heritage access, hospital routes, toilets",Needs local verification
VIC,Shepparton,Regional city,/guides/vic/shepparton-accessibility-guide,Tier 2,"Health, multicultural services and regional transport","Map hospital access, civic services, public toilets",Needs local verification
VIC,Mildura,Regional city,/guides/vic/mildura-accessibility-guide,Tier 2,Murray River tourism and regional service hub,"Verify riverfront access, heat-aware routes, accessible taxis",Needs local verification
VIC,Warrnambool,Regional city,/guides/vic/warrnambool-accessibility-guide,Tier 2,Coastal tourism and regional health,"Map beach lookouts, station access, hospital routes",Needs local verification
VIC,Traralgon / Latrobe Valley,Regional area,/guides/vic/latrobe-valley-accessibility-guide,Tier 2,"Industry, services and Gippsland access","Audit intertown transport, health precincts, civic centres",Needs local verification
VIC,Wangaratta,Regional town,/guides/vic/wangaratta-accessibility-guide,Tier 3,Rail-linked regional town and health services,"Verify station, hospital and accessible toilets",Needs local verification
VIC,Wodonga,Regional city,/guides/vic/wodonga-accessibility-guide,Tier 2,Cross-border access with Albury,"Map regional transport, river/civic routes, hospital access",Needs local verification
QLD,Gold Coast,Regional city,/guides/qld/gold-coast-accessibility-guide,Tier 1,"Beaches, light rail, theme parks and events","Verify beach mats, tram stops, accessible accommodation and toilets",Needs local verification
QLD,Sunshine Coast,Regional area,/guides/qld/sunshine-coast-accessibility-guide,Tier 1,"Beaches, hinterland and health services","Map beach access, shade, toilets and transport gaps",Needs local verification
QLD,Cairns,Regional city,/guides/qld/cairns-accessibility-guide,Tier 1,"Reef gateway, heat-aware tourism and hospital access","Verify marina access, tour operators, accessible taxis",Needs local verification
QLD,Townsville,Regional city,/guides/qld/townsville-accessibility-guide,Tier 1,"Strand, Magnetic Island gateway and regional health","Map ferry access, waterfront paths, hospital and CBD",Needs local verification
QLD,Toowoomba,Regional city,/guides/qld/toowoomba-accessibility-guide,Tier 2,"Gardens, events, hills and health services","Verify gradients, parks, event venues and toilets",Needs local verification
QLD,Mackay,Regional city,/guides/qld/mackay-accessibility-guide,Tier 2,"Regional services, beaches and mining-region access","Map bus links, beaches, hospital and civic spaces",Needs local verification
QLD,Rockhampton,Regional city,/guides/qld/rockhampton-accessibility-guide,Tier 2,"Beef capital, riverfront and health services","Verify riverfront, showgrounds, hospital routes",Needs local verification
QLD,Bundaberg,Regional city,/guides/qld/bundaberg-accessibility-guide,Tier 2,"Tourism, health and coastal access","Map accessible beaches, turtle tourism, hospital access",Needs local verification
QLD,Hervey Bay,Regional city,/guides/qld/hervey-bay-accessibility-guide,Tier 2,"Whale watching, foreshore and Fraser Coast access","Verify tour operators, foreshore paths, accessible toilets",Needs local verification
QLD,Mount Isa,Regional city,/guides/qld/mount-isa-accessibility-guide,Tier 3,Remote services and heat-aware access,"Map health precinct, taxis, shade and public toilets",Needs local verification
SA,Mount Gambier,Regional city,/guides/sa/mount-gambier-accessibility-guide,Tier 2,Limestone Coast tourism and health services,"Verify sinkhole/garden access, toilets, hospital routes",Needs local verification
SA,Whyalla,Regional city,/guides/sa/whyalla-accessibility-guide,Tier 3,Spencer Gulf access and regional services,"Map foreshore, hospital, civic services",Needs local verification
SA,Port Lincoln,Regional town,/guides/sa/port-lincoln-accessibility-guide,Tier 3,Eyre Peninsula tourism and coastal access,"Verify marina, foreshore and accommodation access",Needs local verification
SA,Murray Bridge,Regional town,/guides/sa/murray-bridge-accessibility-guide,Tier 3,Murray River routes and regional services,"Map riverfront, toilets, civic access",Needs local verification
SA,Victor Harbor,Regional town,/guides/sa/victor-harbor-accessibility-guide,Tier 2,Coastal day trips and older-traveller access,"Verify foreshore, causeway, toilets and parking",Needs local verification
SA,Port Augusta,Regional town,/guides/sa/port-augusta-accessibility-guide,Tier 3,Gateway to north SA and remote travel,"Map transport, hospital and rest facilities",Needs local verification
WA,Bunbury,Regional city,/guides/wa/bunbury-accessibility-guide,Tier 1,"South West hub, beaches and health services","Verify foreshore, station/bus, hospital, beach access",Needs local verification
WA,Busselton,Regional city,/guides/wa/busselton-accessibility-guide,Tier 1,Jetty tourism and beach access,"Map jetty access, beach equipment, accessible toilets",Needs local verification
WA,Albany,Regional city,/guides/wa/albany-accessibility-guide,Tier 2,"Heritage, coast and Great Southern services","Verify lookouts, foreshore paths, hospital access",Needs local verification
WA,Geraldton,Regional city,/guides/wa/geraldton-accessibility-guide,Tier 2,Mid West coastal access and health services,"Map foreshore, civic precinct, accessible taxis",Needs local verification
WA,Kalgoorlie,Regional city,/guides/wa/kalgoorlie-accessibility-guide,Tier 3,Goldfields access and regional services,"Verify airport, hospital, accommodation and civic routes",Needs local verification
WA,Broome,Regional town,/guides/wa/broome-accessibility-guide,Tier 2,"Accessible tourism, heat and seasonal access","Map Cable Beach access, taxis, shade and toilets",Needs local verification
WA,Karratha,Regional city,/guides/wa/karratha-accessibility-guide,Tier 3,Pilbara services and heat-aware access,"Verify health services, taxis, civic facilities",Needs local verification
WA,Margaret River,Regional town,/guides/wa/margaret-river-accessibility-guide,Tier 2,"Accessible food, wine and nature tourism","Map wineries, toilets, beach access and transport gaps",Needs local verification
TAS,Launceston,Regional city,/guides/tas/launceston-accessibility-guide,Tier 1,"Heritage, parks and northern Tasmania services","Verify gradients, Cataract Gorge options, bus access",Needs local verification
TAS,Devonport,Regional city,/guides/tas/devonport-accessibility-guide,Tier 2,Ferry gateway and north-west services,"Map ferry terminal, foreshore, toilets and transport",Needs local verification
TAS,Burnie,Regional city,/guides/tas/burnie-accessibility-guide,Tier 2,North-west health and coastal access,"Verify buses, foreshore and civic facilities",Needs local verification
TAS,Queenstown / West Coast,Regional area,/guides/tas/west-coast-accessibility-guide,Tier 3,Remote tourism and heritage rail access,"Map gradients, transport gaps, accommodation access",Needs local verification
NT,Alice Springs,Regional town,/guides/nt/alice-springs-accessibility-guide,Tier 1,"Central Australia access, heat and remote services","Verify taxis, bus routes, cultural venues and health services",Needs local verification
NT,Katherine,Regional town,/guides/nt/katherine-accessibility-guide,Tier 2,Regional services and national park gateway,"Map hospital, civic facilities, tour operator access",Needs local verification
NT,Palmerston,Regional city,/guides/nt/palmerston-accessibility-guide,Tier 2,Darwin-region services and transport links,"Verify bus stops, civic precinct, parks and toilets",Needs local verification
NT,Tennant Creek,Regional town,/guides/nt/tennant-creek-accessibility-guide,Tier 3,Remote access and essential services,"Map clinic, transport, toilets and accommodation",Needs local verification
